
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-15 19:36:49 /api/dashboards/customer ........................................................... ~ 515.31ms
  2026-05-15 19:36:49 /api/dashboards/customer ........................................................... ~ 516.35ms
  2026-05-15 19:36:50 /api/dashboards/customer ............................................................. ~ 0.16ms
  2026-05-15 19:36:50 /api/me ............................................................................ ~ 511.44ms
  2026-05-15 19:36:50 /api/dashboards/customer ........................................................... ~ 511.52ms
  2026-05-15 19:36:51 /api/dashboards/customer ............................................................. ~ 0.15ms
  2026-05-15 19:36:51 /api/dashboards/customer ........................................................... ~ 505.91ms
  2026-05-15 19:36:51 /api/dashboards/customer ........................................................... ~ 516.49ms
  2026-05-15 19:37:03 /api/payments/customer ............................................................. ~ 514.60ms
  2026-05-15 19:37:03 /api/payments/customer ............................................................... ~ 0.14ms
  2026-05-15 19:37:03 /api/payments/methods/35 ............................................................. ~ 0.11ms
  2026-05-15 19:37:04 /api/payments/methods/35 ............................................................. ~ 1.41ms
  2026-05-15 19:37:04 /api/payments/create ..................................................................... ~ 3s
  2026-05-15 19:37:08 /api/payments/create ..................................................................... ~ 3s
  2026-05-15 19:37:11 /api/payments/22/status .............................................................. ~ 0.15ms
  2026-05-15 19:37:11 /api/payments/22/status .............................................................. ~ 1.52ms
  2026-05-15 19:37:12 /api/payments/22/status ............................................................ ~ 510.99ms
  2026-05-15 19:37:12 /api/payments/22/status .............................................................. ~ 0.19ms
  2026-05-15 19:37:12 /api/payments/22/status .................................................................. ~ 2s
  2026-05-15 19:37:15 /api/payments/22/status .............................................................. ~ 2.02ms
  2026-05-15 19:37:15 /api/dashboards/customer ................................................................. ~ 1s
  2026-05-15 19:37:17 /api/dashboards/customer ............................................................. ~ 0.17ms
  2026-05-15 19:37:17 /api/dashboards/customer ........................................................... ~ 506.94ms
  2026-05-15 19:37:17 /api/dashboards/customer ........................................................... ~ 516.52ms
  2026-05-15 19:45:16 /api/landing/boosters ................................................................ ~ 0.69ms
  2026-05-15 19:45:16 /api/landing/boosters ................................................................ ~ 1.75ms
  2026-05-15 19:45:17 /api/landing/boosters .............................................................. ~ 509.92ms
  2026-05-15 19:45:17 /api/landing/boosters ................................................................ ~ 0.13ms
  2026-05-15 19:45:17 ...................................................................................... ~ 2m 37s
  2026-05-15 20:16:46 /api/landing/boosters .................................................................... ~ 5s
  2026-05-15 20:16:46 /api/auth/login ......................................................................... ~ 33s
  2026-05-15 20:18:09 /api/me .............................................................................. ~ 2.04ms
  2026-05-15 20:18:09 /api/me .............................................................................. ~ 3.11ms
  2026-05-15 20:18:09 /api/me .............................................................................. ~ 0.14ms
  2026-05-15 20:18:09 /api/me ............................................................................ ~ 506.86ms
  2026-05-15 20:18:10 /api/auth/refresh .................................................................... ~ 0.17ms
  2026-05-15 20:18:10 /api/auth/refresh .................................................................. ~ 511.65ms
  2026-05-15 20:18:10 /api/me .............................................................................. ~ 0.14ms
  2026-05-15 20:18:10 /api/me ............................................................................ ~ 510.80ms
  2026-05-15 20:18:10 /api/me ............................................................................ ~ 512.11ms
  2026-05-15 20:18:11 /api/me .............................................................................. ~ 0.15ms
  2026-05-15 20:18:11 /api/me .............................................................................. ~ 0.20ms
  2026-05-15 20:18:11 /api/landing/boosters ................................................................ ~ 0.61ms
  2026-05-15 20:18:11 /api/landing/boosters ................................................................ ~ 1.31ms
  2026-05-15 20:18:11 /api/me .............................................................................. ~ 0.11ms
  2026-05-15 20:18:11 /api/landing/boosters ................................................................ ~ 0.84ms
  2026-05-15 20:18:12 /api/landing/boosters .............................................................. ~ 513.34ms
